epoch,val_loss,val_accuracy,val_macro_f1
1,0.4750801622867584,0.9777777777777777,0.977747998722708
2,0.08281484246253967,0.9962962962962963,0.9962958389924682
3,0.05013767629861832,1.0,1.0
4,0.03408350422978401,0.9962962962962963,0.9962958389924682
5,0.028531527146697044,1.0,1.0
6,0.02051563374698162,1.0,1.0
7,0.015608426183462143,1.0,1.0
8,0.013827206566929817,1.0,1.0
9,0.010964963585138321,1.0,1.0
10,0.009422831237316132,1.0,1.0
11,0.008918188512325287,1.0,1.0
12,0.0067918915301561356,1.0,1.0
13,0.006711856462061405,1.0,1.0
14,0.006975528318434954,1.0,1.0
15,0.005158701911568642,1.0,1.0
16,0.004323006607592106,1.0,1.0
17,0.0028489064425230026,1.0,1.0
18,0.003810797818005085,1.0,1.0
19,0.004174283239990473,1.0,1.0
20,0.004912800155580044,1.0,1.0
21,0.002684389241039753,1.0,1.0
22,0.002574231708422303,1.0,1.0
23,0.0024533234536647797,1.0,1.0
24,0.0022144014947116375,1.0,1.0
25,0.002619238570332527,1.0,1.0
26,0.001592919696122408,1.0,1.0
27,0.0019648235756903887,1.0,1.0
28,0.0015720889205113053,1.0,1.0
29,0.006092071998864412,1.0,1.0
30,0.0034889872185885906,1.0,1.0
